randomness,timestamp,tweet,label
8586,31-10-2019 19:25,"b'Harley Quinn, baby!!\n.\n.\n.\n#happyhalloween #halloween2019 #mychildren #spooky #fun #harleyquinn @ London, United Ki https://t.co/5Vdev2ZTbZ'",1
13304,30-10-2019 19:52,b'RT @CINetwork2019: @aronseal @TorontoPolice Only you are responsible for your mental health.\n\nLaying blame to further your political wants\xe2\x80\xa6',0
13492,01-11-2019 09:30,b'RT @CreateTheRipple: Be crazy. Be silly. Be you. Be #happy! #friday #positivity #life https://t.co/dZneklqmbP',1
17567,28-10-2019 23:33,b'RT @ManuelaMravlak: Here is a small sample of the wonderful and so much roar of the water from this impressive little lake here in Tarvisio',1
17790,30-10-2019 02:31,"b'RT @MiaStJohnBoxer: After I lost my son &amp; then his father, I lost myself. #mentalillness &amp; #addiction took my family. I refuse to let it be\xe2\x80\xa6'",0
9529,31-10-2019 16:29,"b'Im no Superman, but Im the .\n|\n|\n#Happy #Halloween #October #tshirtcostume #confidence #suitup #excuse #lazy https://t.co/IEQQ3vs8nS'",1
15846,01-11-2019 01:49,b'RT @JonnyRockin617: @L0B033 @Carreenv1 @JuelzLovesKush @Norstackk @rearea_canis @james_bong13 @Heretic__13 @ReeferMcGee @lanni_1503 @babygi',1
13507,31-10-2019 15:57,b'RT @csmls: Taking charge of your #mentalhealth is possible with the right learning tools and resources.\nIn the learning section of our Ment\xe2\x80\xa6',0
4298,01-11-2019 08:22,b'#roadtrip  #landscape MudMaster Dual Display Sports Watch\n\n #campinggear #hiking #hikingtrails #hikinggear #fun https://t.co/mzLTkyfR0M',1
9082,28-10-2019 15:28,b'https://t.co/lsbjvISiXd &amp; tonialavedrafishingg caught a #redscorpionfish in the #barcelone #sea . Our #fishing https://t.co/2P4lowJl7v',1
23469,31-10-2019 23:37,"b'What an awesome trending music game! \nVery funny, exicting, and challenge!\nCheck it Out! Tiles Hop \n#TilesHop https://t.co/BTUseolHCb'",1
16455,30-10-2019 23:37,b'RT @KKMPutrajaya: Your mental health is a priority. Your happiness is an essential. Your self-care is a necessity.\n\n#LetsTalk \n#MentalHealt\xe2\x80\xa6',0
14388,01-11-2019 05:30,b'RT @eighthhoekage: Shes all fired up. #fairytail #natsu #happy https://t.co/30aFF09KgZ',1
18824,01-11-2019 10:29,b'RT @pickyfork: RT @DilciaAcevedo2: RT @pickyfork: RT @NYVets4Trump: RT @pickyfork: RT @GerardisGrill: Dino loved to have #fun with #friends',1
16783,30-10-2019 16:07,b'RT @kskgroup2017: Staring tomorrow I will join @MijnVitesse training. Thank you @MijnVitesse. \n\nI feel the same as I did 12 years ago when',1
19491,01-11-2019 06:51,b'RT @realpreityzinta: Anything can happen on Halloween  Heres to having some fun  and being a little crazy ! Perks of showing up on the',1
3542,30-10-2019 05:00,b'#GoodMorning #Istanbul is Partly Cloudy #today. With a high of 21 C / 69 F and a low of 13 C / 55 F #Enjoy #ttot',1
4055,31-10-2019 08:15,b'#Joker \xe2\x80\x93 are #mentalillness and violence linked? by @nidazehra @naqvi_sumera \n\n#jokerfilm #jokermovie\xe2\x80\xa6 https://t.co/FEIoCIT8pI',0
5333,30-10-2019 23:04,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa7\xa1\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x92\x9c\xf0\x9f\x96\xa4\n\n                SELF  LOVE  IS  THE  GREATEST\n                MIDDLE  FINGER  OF  ALL TIME\xe2\x80\xa6 https://t.co/fplvCRJHEt',0
10390,31-10-2019 03:20,b'Me when I realise I\xe2\x80\x99m not alone with my struggles and there are many wholesome people who want to help and support\xe2\x80\xa6 https://t.co/rUrBDp2o3z',0
13556,30-10-2019 16:35,"b'RT @dahalapenio: The southernmost point of Canada #PointPeleeNationalPark is a birders dream, a paddlers paradise  &amp; a perfect place to g'",1
13604,31-10-2019 20:47,b'RT @dantedadobie: Who took my banana  ??#dobberman  #puppy #thesun  #chewtoy #doberman #puppies #dogs #dog #dogoftheday  #shoutout #hello',1
5610,31-10-2019 06:11,"b'A product of the modern game, Glenn Maxwell adds color to the sport he loves.\n\nTake care @gmaxi_32. Comeback strong\xe2\x80\xa6 https://t.co/Kj6soeykDA'",0
14048,30-10-2019 15:21,"b'RT @Dr_Elkhatib1: #Free from Monday, 28 October 2019 until Friday, 01 November 2019. Please #download and #enjoy.\n\n#KU #IAN1 #RRBC #IARTG #'",1
2527,31-10-2019 04:27,"b""RT @SamTaweets: Well it's taken me an afternoon of scouring the interweb, but we managed to find this morning's stoush between Michael Felg""",1
1629,31-10-2019 11:39,"b""RT @billydinkel: Have you ever experienced such low self-esteem you literally couldn't make a decision? Or second guessed yourself so badly\xe2\x80\xa6""",0
4841,31-10-2019 21:17,b'@HoneyBellCakes HoneyBellcake\n#HoneyBellCakes \n#HoneyBell #Cakes #hungry #snacktime #fun #contest #participate',1
326,30-10-2019 11:16,"b""#Test #enjoy &amp; #circulate #incredible #elected #itemization in 'Rev Against Religion- Protestantism' https://t.co/YZLOQB3FvO""",1
13575,01-11-2019 02:26,"b'RT @DailyhuntApp: A #spooky contest for the spookiest day of the year. This #halloween2019, tell us what a horror movie based on your life'",1
13377,31-10-2019 22:20,b'RT @coach1lb: Sold out 3day came tick...loving Aces Coaching Team  ..#setting #goals #achieving #delivering  #determind #focused #happy htt',1
3546,31-10-2019 18:12,b'#GoToTheGym or #Arnold @Schwarzenegger will make sure that you feel the #heat. #NoExcuses #Workout https://t.co/M7t9BXCsh3',1
1886,26-10-2019 14:11,"b""RT @EveyHammond19: \xf0\x9f\xa6\x8b\xf0\x9f\xa6\x8b\n\nHere's a survival tip to all those people who have recently been forced to stop full time work because of mental hea\xe2\x80\xa6""",0
10871,29-10-2019 22:12,b'Officially on https://t.co/SPxK3K7GH3!!!!  @TEDTalks @TEDx  #TedTalk #Mindfulness #mentalillness     https://t.co/Q6x1UMybD7',0
